"","n_clusters","n_obs_per_cluster","true_beta","beta_est_mean","min_beta_est","max_beta_est","beta_bias_mean","beta_est_var","power","ci_coverage","gamma2","beta","c1_c2_ratio"
"beta_est...61",45,13,0.05,0.0656479274482713,-0.142982059685794,0.285153696247938,0.0156479274482713,0.00976844652602602,0.12,0.93,0.1,0.05,10
"beta_est...62",45,13,0.5,0.515221730207346,0.313889551630695,0.770361971796391,0.0152217302073455,0.0100024959268117,1,0.93,0.1,0.5,10
"beta_est...63",45,13,1.5,1.49731725041975,1.30968100041153,1.70786989424585,-0.00268274958024611,0.00785288595429948,1,0.97,0.1,1.5,10
"beta_est...64",45,13,0.05,0.0631193208879441,-1.06180010366468,0.865339293810847,0.0131193208879441,0.107075234198515,0.05,0.95,1.2,0.05,10
"beta_est...65",45,13,0.5,0.521909603476513,-0.703792061286322,1.34660720870728,0.0219096034765128,0.134738711006224,0.4,0.9,1.2,0.5,10
"beta_est...66",45,13,1.5,1.4559332847501,0.439570171642262,2.2070338985527,-0.0440667152498961,0.109217274773058,0.99,0.92,1.2,1.5,10
"beta_est...67",45,13,0.05,-0.0233459523879099,-1.31431903959255,1.1213074180027,-0.0733459523879099,0.260269281607653,0.1,0.9,2.3,0.05,10
"beta_est...68",45,13,0.5,0.524626286846175,-0.465685675127007,1.99382969351738,0.0246262868461752,0.184599711752068,0.25,0.94,2.3,0.5,10
"beta_est...69",45,13,1.5,1.43788227061996,0.270408346652926,2.99049839252838,-0.0621177293800366,0.2183924715461,0.92,0.96,2.3,1.5,10
"beta_est...70",45,13,0.05,0.186222755784783,-1.62627530922222,1.48749015887607,0.136222755784783,0.319528337379604,0.08,0.93,3.4,0.05,10
"beta_est...71",45,13,0.5,0.43155297027725,-1.27779996748692,1.95238602104256,-0.0684470297227501,0.371083610297583,0.17,0.91,3.4,0.5,10
"beta_est...72",45,13,1.5,1.43065009323702,0.239389073360012,2.68006998341125,-0.069349906762976,0.292296187877659,0.76,0.94,3.4,1.5,10
"beta_est...73",45,13,0.05,0.0723570200463567,-1.68428486053453,2.078422715038,0.0223570200463567,0.467600213356962,0.08,0.93,4.5,0.05,10
"beta_est...74",45,13,0.5,0.362484654463524,-0.947324037495971,1.71339087687052,-0.137515345536476,0.415960934880794,0.11,0.95,4.5,0.5,10
"beta_est...75",45,13,1.5,1.51286318782853,-0.0184618818238165,3.1833400729497,0.0128631878285266,0.35771820460473,0.69,0.97,4.5,1.5,10
"beta_est...76",45,13,0.05,0.0658666951805582,-1.72465202204528,1.76614056291891,0.0158666951805581,0.461122262303867,0.04,0.96,5.6,0.05,10
"beta_est...77",45,13,0.5,0.436958012749648,-1.46666484731169,1.99502629177176,-0.0630419872503518,0.408345721650797,0.06,0.95,5.6,0.5,10
"beta_est...78",45,13,1.5,1.46517594972345,-0.315343256069313,3.38296001906105,-0.0348240502765494,0.456248924520011,0.5,0.95,5.6,1.5,10
"beta_est...79",45,13,0.05,0.0599092473616603,-1.52178507679162,1.66539712916831,0.00990924736166029,0.530871745199297,0.03,0.95,6.7,0.05,10
"beta_est...80",45,13,0.5,0.474736729168486,-1.76245727034131,2.61901297347064,-0.0252632708315136,0.765831444023049,0.16,0.91,6.7,0.5,10
"beta_est...81",45,13,1.5,1.38361068179493,-0.378706324079669,3.46454922571208,-0.116389318205071,0.630203030573331,0.43,0.92,6.7,1.5,10
"beta_est...82",45,13,0.05,0.118958691276543,-1.70788129857229,2.29814438104669,0.0689586912765427,0.604052699357614,0.06,0.95,7.8,0.05,10
"beta_est...83",45,13,0.5,0.524982884930103,-1.71082600873929,2.26368653218159,0.0249828849301031,0.705664462157388,0.12,0.96,7.8,0.5,10
"beta_est...84",45,13,1.5,1.54176062867897,-0.252858373046578,4.40400181505428,0.0417606286789688,0.743385978373795,0.46,0.96,7.8,1.5,10
"beta_est...85",45,13,0.05,-0.0927981361171094,-2.29310481669715,2.00497504447488,-0.142798136117109,0.685127064935591,0.04,0.96,8.9,0.05,10
"beta_est...86",45,13,0.5,0.453189075905175,-1.61465334668409,2.9073655361664,-0.0468109240948245,0.695661305817501,0.07,0.94,8.9,0.5,10
"beta_est...87",45,13,1.5,1.53273123950196,-0.884874024258944,3.29431922123882,0.0327312395019585,0.828558128251279,0.47,0.94,8.9,1.5,10
"beta_est...88",45,13,0.05,0.0420595824855942,-3.20777192997035,2.68145896015524,-0.00794041751440586,1.03270133737919,0.07,0.94,10,0.05,10
"beta_est...89",45,13,0.5,0.397707427893575,-1.84247303116473,2.36051691980106,-0.102292572106425,0.862934681433217,0.06,0.94,10,0.5,10
"beta_est...90",45,13,1.5,1.47553647029855,-0.412436302213069,3.68836017376187,-0.0244635297014451,0.856065145126036,0.35,0.96,10,1.5,10
"beta_est...91",50,21,0.05,0.0411787426793364,-0.22706044467707,0.266330184193506,-0.00882125732066358,0.00839542266210883,0.11,0.95,0.1,0.05,20
"beta_est...92",50,21,0.5,0.496703573139644,0.263997930472078,0.712080775955669,-0.00329642686035625,0.00728397603438924,1,0.95,0.1,0.5,20
"beta_est...93",50,21,1.5,1.48749916046138,1.24289658877054,1.74459185268101,-0.0125008395386189,0.00968717359988369,1,0.91,0.1,1.5,20
"beta_est...94",50,21,0.05,0.0249575584179437,-0.618754998834611,0.768483554453611,-0.0250424415820563,0.0903027261161696,0.04,0.95,1.2,0.05,20
"beta_est...95",50,21,0.5,0.536004093888738,-0.231274216021227,1.32096379807299,0.0360040938887382,0.097788538959413,0.46,0.95,1.2,0.5,20
"beta_est...96",50,21,1.5,1.55805365282505,0.55048314549895,2.4013139131992,0.0580536528250504,0.123714651218072,0.99,0.9,1.2,1.5,20
"beta_est...97",50,21,0.05,0.0902763283149132,-1.10810493263501,1.24135411657771,0.0402763283149132,0.182708641994458,0.07,0.93,2.3,0.05,20
"beta_est...98",50,21,0.5,0.472411791057388,-0.65702880496173,1.49262869198205,-0.0275882089426114,0.184878211461365,0.18,0.93,2.3,0.5,20
"beta_est...99",50,21,1.5,1.47382313255332,0.363702286136854,2.48559856228359,-0.0261768674466825,0.164178700802572,0.93,0.94,2.3,1.5,20
"beta_est...100",50,21,0.05,0.0596757643689592,-1.21323054754303,1.23167864079276,0.00967576436895914,0.296561697368415,0.07,0.94,3.4,0.05,20
"beta_est...101",50,21,0.5,0.52665182797798,-1.06406845002053,2.42662519036069,0.02665182797798,0.299653371967498,0.19,0.91,3.4,0.5,20
"beta_est...102",50,21,1.5,1.4380046672867,0.20062409174852,2.65981289611898,-0.0619953327132961,0.27731394521103,0.77,0.95,3.4,1.5,20
"beta_est...103",50,21,0.05,0.138460338553605,-1.07043582875682,1.79660328992799,0.0884603385536052,0.324818747969328,0.06,0.95,4.5,0.05,20
"beta_est...104",50,21,0.5,0.432502413274363,-1.0813298991931,2.12188804619075,-0.0674975867256366,0.435975369213849,0.14,0.91,4.5,0.5,20
"beta_est...105",50,21,1.5,1.47025505747818,0.413877044162732,2.87033566839824,-0.029744942521815,0.234099844329911,0.76,0.98,4.5,1.5,20
"beta_est...106",50,21,0.05,0.0470854509404978,-1.91996306204153,1.734969522,-0.00291454905950223,0.437524327830265,0.05,0.94,5.6,0.05,20
"beta_est...107",50,21,0.5,0.52504900449886,-1.06331751298671,2.15105551828438,0.0250490044988608,0.420303497605318,0.14,0.9,5.6,0.5,20
"beta_est...108",50,21,1.5,1.50528769706493,-0.740343687926236,3.9352176925866,0.00528769706493343,0.536372850806813,0.59,0.93,5.6,1.5,20
"beta_est...109",50,21,0.05,0.0802328967178616,-1.78208727211158,1.80466799675783,0.0302328967178616,0.506721135225624,0.08,0.92,6.7,0.05,20
"beta_est...110",50,21,0.5,0.47474231106998,-1.3005850324825,2.05537779471432,-0.0252576889300196,0.540023727709598,0.09,0.97,6.7,0.5,20
"beta_est...111",50,21,1.5,1.44475298310929,-0.0045766942637623,3.33261856802628,-0.055247016890712,0.450094170667053,0.51,0.96,6.7,1.5,20
"beta_est...112",50,21,0.05,-0.00442774340884131,-2.31515512950869,2.07490896728232,-0.0544277434088413,0.635841325200911,0.06,0.94,7.8,0.05,20
"beta_est...113",50,21,0.5,0.61480997984179,-1.20533260778676,2.02982566495514,0.11480997984179,0.512747973880705,0.13,0.96,7.8,0.5,20
"beta_est...114",50,21,1.5,1.33433663346145,-0.960256618913437,3.51505532860724,-0.165663366538552,0.546166170720427,0.4,0.96,7.8,1.5,20
"beta_est...115",50,21,0.05,0.0120338325547713,-1.79545542994199,2.07224293957806,-0.0379661674452288,0.658183803630904,0.06,0.94,8.9,0.05,20
"beta_est...116",50,21,0.5,0.512258948015352,-2.01412339574774,2.44127243122356,0.0122589480153516,0.847735519447188,0.1,0.89,8.9,0.5,20
"beta_est...117",50,21,1.5,1.52272257799931,-0.406014250017161,3.54648299192292,0.0227225779993122,0.704692468983569,0.44,0.94,8.9,1.5,20
"beta_est...118",50,21,0.05,-0.0220266660462122,-2.13339681590196,2.22344240269232,-0.0720266660462121,0.921390881442944,0.07,0.93,10,0.05,20
"beta_est...119",50,21,0.5,0.599539749139273,-0.94808171591329,2.88870557567053,0.0995397491392732,0.521915058137022,0.07,0.96,10,0.5,20
"beta_est...120",50,21,1.5,1.60011853712236,-1.60610300162881,3.66621654484482,0.100118537122363,0.945337324953904,0.48,0.9,10,1.5,20
