"","n_clusters","n_obs_per_cluster","true_beta","beta_est_mean","beta_bias_mean","beta_est_var","power","ci_coverage","gamma2","beta","c1_c2_ratio"
"beta_est...57",45,7,5,4.44105925455911,-0.558940745440884,0.00503390001039157,1,1,8.9,5,5
"beta_est...58",45,7,1.5,0.898685066012182,-0.601314933987818,0.0219748876254244,0,1,10,1.5,5
"beta_est...59",45,7,3,4.00770316854911,1.00770316854911,0.0115209441207177,1,1,10,3,5
"beta_est...60",45,7,5,5.79168894277988,0.791688942779882,0.0134549536315159,1,1,10,5,5
"beta_est...61",25,31,1.5,1.63181640358671,0.131816403586711,0.000403934294251645,1,1,0.1,1.5,10
"beta_est...62",25,31,3,3.09801208723304,0.0980120872330452,0.000317410685216489,1,1,0.1,3,10
"beta_est...63",25,31,5,5.15272321969519,0.152723219695188,0.00030818596437697,1,1,0.1,5,10
"beta_est...64",25,31,1.5,0.744521563594174,-0.755478436405826,0.000405486974104983,0,1,1.2,1.5,10
"beta_est...65",25,31,3,3.39088293963298,0.390882939632983,0.00116512115518669,1,1,1.2,3,10
"beta_est...66",25,31,5,4.71266721834647,-0.287332781653531,0.000679797930498562,1,1,1.2,5,10
"beta_est...67",25,31,1.5,2.14503951249729,0.645039512497294,0.0025060844167688,1,1,2.3,1.5,10
"beta_est...68",25,31,3,3.35389953329907,0.353899533299074,0.0015670980649634,1,1,2.3,3,10
"beta_est...69",25,31,5,4.64634770448976,-0.353652295510235,0.00105688687003094,1,1,2.3,5,10
"beta_est...70",25,31,1.5,-0.094170338077505,-1.59417033807751,0.00136972427851287,0,0.99,3.4,1.5,10
"beta_est...71",25,31,3,3.21902740525817,0.219027405258175,0.00262086955850375,1,1,3.4,3,10
"beta_est...72",25,31,5,5.17281967983892,0.172819679838919,0.000635388299227313,1,1,3.4,5,10
"beta_est...73",25,31,1.5,0.955844341822656,-0.544155658177345,0.00145663417962086,0,1,4.5,1.5,10
"beta_est...74",25,31,3,4.42081553989513,1.42081553989514,0.00446952438955082,1,1,4.5,3,10
"beta_est...75",25,31,5,4.28352098544749,-0.716479014552507,0.00124608129943369,1,1,4.5,5,10
"beta_est...76",25,31,1.5,2.86142046396113,1.36142046396113,0.00349727071031877,1,1,5.6,1.5,10
"beta_est...77",25,31,3,2.95754309029522,-0.0424569097047836,0.00129215939183244,1,1,5.6,3,10
"beta_est...78",25,31,5,5.19565853046046,0.195658530460455,0.000899573769724414,1,1,5.6,5,10
"beta_est...79",25,31,1.5,0.893501045156975,-0.606498954843025,0.00197369663207253,0,1,6.7,1.5,10
"beta_est...80",25,31,3,4.08914025619275,1.08914025619275,0.00125518417560924,1,1,6.7,3,10
"beta_est...81",25,31,5,4.30470170100775,-0.695298298992252,0.00579040047854986,1,1,6.7,5,10
"beta_est...82",25,31,1.5,2.77972866569752,1.27972866569752,0.00532003543547472,1,1,7.8,1.5,10
"beta_est...83",25,31,3,1.86149969859519,-1.13850030140481,0.014259521242586,0,1,7.8,3,10
"beta_est...84",25,31,5,5.45330087471193,0.453300874711933,0.00377921449622064,1,1,7.8,5,10
"beta_est...85",25,31,1.5,2.52488831702155,1.02488831702155,0.00390617604264085,1,1,8.9,1.5,10
"beta_est...86",25,31,3,3.47837811962928,0.478378119629279,0.0010979626420756,1,1,8.9,3,10
"beta_est...87",25,31,5,3.90293060359842,-1.09706939640158,0.00214822694037053,1,1,8.9,5,10
"beta_est...88",25,31,1.5,0.386582938381809,-1.11341706161819,0.00995933946120641,0,1,10,1.5,10
"beta_est...89",25,31,3,2.87664378053129,-0.123356219468706,0.0296860166611147,0.3,1,10,3,10
"beta_est...90",25,31,5,4.9599286976361,-0.040071302363897,0.00531478151728417,1,1,10,5,10
"beta_est...91",10,181,1.5,1.44657904832411,-0.0534209516758931,0.000190931676789047,1,1,0.1,1.5,20
"beta_est...92",10,181,3,3.18787183342764,0.187871833427642,0.00035856309912474,1,1,0.1,3,20
"beta_est...93",10,181,5,5.38570280009722,0.385702800097221,0.000153256275347069,1,0,0.1,5,20
"beta_est...94",10,181,1.5,0.256472158688097,-1.2435278413119,0.000180756361701056,0,1,1.2,1.5,20
"beta_est...95",10,181,3,2.34918202036407,-0.650817979635929,0.000111036724154217,1,0,1.2,3,20
"beta_est...96",10,181,5,4.54265628775643,-0.457343712243565,0.00101385198388832,1,1,1.2,5,20
"beta_est...97",10,181,1.5,2.29202736174591,0.792027361745914,0.000210127750857299,1,1,2.3,1.5,20
"beta_est...98",10,181,3,3.53199235303476,0.531992353034766,0.00016994063595993,1,1,2.3,3,20
"beta_est...99",10,181,5,4.37454806345467,-0.625451936545333,0.00018016668764658,1,1,2.3,5,20
"beta_est...100",10,181,1.5,4.44422532502314,2.94422532502314,0.00442614436938349,1,0,3.4,1.5,20
"beta_est...101",10,181,3,2.37681559819001,-0.623184401809994,0.000209287531640662,0,1,3.4,3,20
"beta_est...102",10,181,5,5.58661979704944,0.586619797049441,0.00065866510991997,1,1,3.4,5,20
"beta_est...103",10,181,1.5,0.803045918301383,-0.696954081698617,0.00107518756720841,0,1,4.5,1.5,20
"beta_est...104",10,181,3,3.64307709725039,0.643077097250389,0.00228083797027447,1,1,4.5,3,20
"beta_est...105",10,181,5,4.80446524359209,-0.195534756407907,0.00152236972794714,1,1,4.5,5,20
"beta_est...106",10,181,1.5,-0.138903011511578,-1.63890301151158,0.00246380726122311,0,1,5.6,1.5,20
"beta_est...107",10,181,3,3.67630727673642,0.67630727673642,0.00045043846614696,1,1,5.6,3,20
"beta_est...108",10,181,5,2.95004375534069,-2.04995624465931,3.42312199180672e-05,0.52,1,5.6,5,20
"beta_est...109",10,181,1.5,-4.03996128353483,-5.53996128353483,0.00509272413796807,1,0,6.7,1.5,20
"beta_est...110",10,181,3,2.22509770679033,-0.774902293209668,0.00197205244017162,0,1,6.7,3,20
"beta_est...111",10,181,5,7.69269701274643,2.69269701274643,0.01760891584418,1,0,6.7,5,20
"beta_est...112",10,181,1.5,5.2029011955254,3.7029011955254,0.0111456755277492,1,0,7.8,1.5,20
"beta_est...113",10,181,3,4.30541351757533,1.30541351757533,0.00157596548722239,1,1,7.8,3,20
"beta_est...114",10,181,5,8.96369557789862,3.96369557789862,0.00530381287398699,1,0,7.8,5,20
"beta_est...115",10,181,1.5,1.66574676152778,0.16574676152778,0.000712943697177749,0,1,8.9,1.5,20
"beta_est...116",10,181,3,5.88472228026317,2.88472228026317,0.00044913598218049,1,1,8.9,3,20
"beta_est...117",10,181,5,3.40518250737946,-1.59481749262053,5.2933288032765e-05,0.94,1,8.9,5,20
"beta_est...118",10,181,1.5,-2.27271432226732,-3.77271432226733,0.00167707062723023,0.37,0,10,1.5,20
"beta_est...119",10,181,3,4.57836843590232,1.57836843590232,0.00095507205455817,1,1,10,3,20
"beta_est...120",10,181,5,2.83918439453655,-2.16081560546345,0.000845295981170065,0,1,10,5,20
