"","n_clusters","n_obs_per_cluster","true_beta","beta_est_mean","min_beta_est","max_beta_est","beta_bias_mean","beta_est_var","power","ci_coverage","sigma2","beta","c1_c2_ratio"
"beta_est...58",45,7,0.05,0.0987596293132447,-0.634141151936507,1.29492037907755,0.0487596293132447,0.22120005442831,0.05,0.95,10,0.05,5
"beta_est...59",45,7,0.5,0.432974215235682,-0.447945257535535,1.376140921886,-0.0670257847643181,0.180105778405912,0.11,0.99,10,0.5,5
"beta_est...60",45,7,1.5,1.45848386815403,-0.0175225670248243,2.64228226670611,-0.0415161318459715,0.269099930872764,0.84,0.9,10,1.5,5
"beta_est...61",45,13,0.05,0.0979092894459372,-0.509607099054874,0.716315215249405,0.0479092894459372,0.074555667374437,0.04,0.95,0.1,0.05,10
"beta_est...62",45,13,0.5,0.455994255981032,-0.341367627996235,1.20133442618825,-0.0440057440189678,0.0799855233318661,0.26,0.92,0.1,0.5,10
"beta_est...63",45,13,1.5,1.54991832027617,0.88530387368432,2.27087236031009,0.0499183202761719,0.0752176087495264,1,0.98,0.1,1.5,10
"beta_est...64",45,13,0.05,0.125443626812812,-0.538320629224264,0.636379304521984,0.0754436268128122,0.0667473081936775,0.03,0.99,1.2,0.05,10
"beta_est...65",45,13,0.5,0.52297345320775,-0.265363518396,1.29694101158795,0.0229734532077504,0.100922988176654,0.36,0.93,1.2,0.5,10
"beta_est...66",45,13,1.5,1.53568965604573,0.756484022956665,2.32385785796295,0.0356896560457333,0.101267131072191,1,0.97,1.2,1.5,10
"beta_est...67",45,13,0.05,0.0201265269427131,-1.00419717269893,0.731534292838814,-0.0298734730572869,0.12452681010927,0.08,0.91,2.3,0.05,10
"beta_est...68",45,13,0.5,0.475721857031856,-0.346724646970226,1.32115479262401,-0.0242781429681442,0.103766049700109,0.3,0.94,2.3,0.5,10
"beta_est...69",45,13,1.5,1.48956829074944,0.478793188178336,2.20674309025833,-0.0104317092505569,0.0926179049229606,0.99,0.95,2.3,1.5,10
"beta_est...70",45,13,0.05,0.070656100467048,-0.731713494431217,0.726066031979685,0.0206561004670481,0.102901676125286,0,0.97,3.4,0.05,10
"beta_est...71",45,13,0.5,0.490487306572283,-0.329023946328373,1.18504701155512,-0.00951269342771653,0.118641721720858,0.26,0.95,3.4,0.5,10
"beta_est...72",45,13,1.5,1.50569796776551,0.726898387808562,2.57095721127231,0.00569796776550706,0.115321341863696,1,0.97,3.4,1.5,10
"beta_est...73",45,13,0.05,0.119615395585458,-0.626273819478873,1.01003509349945,0.0696153955854576,0.110850663753992,0.08,0.92,4.5,0.05,10
"beta_est...74",45,13,0.5,0.556051957974455,-0.406901018112319,1.44626871542849,0.056051957974455,0.126501918527144,0.34,0.92,4.5,0.5,10
"beta_est...75",45,13,1.5,1.53818609752816,0.859717857428711,2.39018560141594,0.0381860975281616,0.107773213205326,1,0.95,4.5,1.5,10
"beta_est...76",45,13,0.05,0.0425325252295777,-1.03826220049146,0.716161889780277,-0.00746747477042225,0.145390113396375,0.08,0.94,5.6,0.05,10
"beta_est...77",45,13,0.5,0.503769089747683,-0.599030642100149,1.41507555942278,0.00376908974768236,0.164908394928681,0.33,0.91,5.6,0.5,10
"beta_est...78",45,13,1.5,1.44456812822093,0.581549145939522,2.36803060474894,-0.0554318717790657,0.153728266501643,0.99,0.91,5.6,1.5,10
"beta_est...79",45,13,0.05,0.00078623390724813,-0.95380334777244,0.745449628521215,-0.0492137660927519,0.104775013439669,0.01,0.99,6.7,0.05,10
"beta_est...80",45,13,0.5,0.476135104656285,-0.524733778653366,1.61784684479386,-0.0238648953437153,0.184169913104506,0.3,0.91,6.7,0.5,10
"beta_est...81",45,13,1.5,1.52557089512288,0.635975664506462,2.2025367493326,0.0255708951228817,0.111157410824998,0.99,0.95,6.7,1.5,10
"beta_est...82",45,13,0.05,0.0351333671364945,-0.705088038365964,0.92269361265778,-0.0148666328635055,0.137190323691379,0.04,0.96,7.8,0.05,10
"beta_est...83",45,13,0.5,0.49548988962256,-0.541506699773295,1.60903297885938,-0.00451011037743947,0.170780225644523,0.27,0.93,7.8,0.5,10
"beta_est...84",45,13,1.5,1.45169592395209,0.527790769589389,2.44352713471686,-0.0483040760479131,0.172980239659739,0.94,0.93,7.8,1.5,10
"beta_est...85",45,13,0.05,0.0290413936942086,-0.576782139009297,1.29469065266285,-0.0209586063057914,0.12377277549616,0.03,0.97,8.9,0.05,10
"beta_est...86",45,13,0.5,0.538374030547628,-0.29962209652391,1.34953464878106,0.0383740305476282,0.162643987684073,0.3,0.94,8.9,0.5,10
"beta_est...87",45,13,1.5,1.52041179563944,0.373925813104419,2.48565733419127,0.0204117956394406,0.134990229005892,0.98,0.94,8.9,1.5,10
"beta_est...88",45,13,0.05,0.0246530842967748,-0.795151717265852,1.06098418108159,-0.0253469157032252,0.16179052554368,0.07,0.94,10,0.05,10
"beta_est...89",45,13,0.5,0.490487089717997,-0.491614085526979,1.34140746778438,-0.0095129102820032,0.156258045093332,0.25,0.96,10,0.5,10
"beta_est...90",45,13,1.5,1.49173940308839,0.58142160767609,2.83681543575603,-0.00826059691160935,0.166734590566402,0.96,0.96,10,1.5,10
"beta_est...91",40,31,0.05,0.0625349981740049,-0.626389246141482,0.703696914133904,0.0125349981740049,0.0950499780871391,0.05,0.95,0.1,0.05,20
"beta_est...92",40,31,0.5,0.46269537917006,-0.356057980389234,1.62851018136961,-0.0373046208299404,0.108350802023962,0.27,0.92,0.1,0.5,20
"beta_est...93",40,31,1.5,1.46354512230958,0.658524174344094,2.30466859824449,-0.0364548776904218,0.0838777732164676,1,0.96,0.1,1.5,20
"beta_est...94",40,31,0.05,0.102732437821768,-0.590314498657478,0.970557771676854,0.0527324378217677,0.094555888053368,0.06,0.93,1.2,0.05,20
"beta_est...95",40,31,0.5,0.449583808282042,-0.273082882090508,1.18281325399521,-0.0504161917179575,0.105505049986986,0.3,0.95,1.2,0.5,20
"beta_est...96",40,31,1.5,1.49028848598021,0.686014239703092,2.08967087065047,-0.00971151401979306,0.117287945564731,1,0.92,1.2,1.5,20
"beta_est...97",40,31,0.05,0.0611080565955405,-0.923050336701696,0.905768513815162,0.0111080565955405,0.138335563212702,0.08,0.88,2.3,0.05,20
"beta_est...98",40,31,0.5,0.504749946508978,-0.270584245580165,1.30997938478533,0.00474994650897761,0.136654698096154,0.34,0.92,2.3,0.5,20
"beta_est...99",40,31,1.5,1.47021265722152,0.549347194480152,2.25735355891866,-0.0297873427784857,0.0947098106564076,1,0.96,2.3,1.5,20
"beta_est...100",40,31,0.05,0.033044218917829,-0.81580047644273,0.87513286943779,-0.016955781082171,0.117164065559687,0.06,0.91,3.4,0.05,20
"beta_est...101",40,31,0.5,0.492934925667147,-0.41335608692824,1.39346820714812,-0.00706507433285295,0.11880273484638,0.32,0.93,3.4,0.5,20
"beta_est...102",40,31,1.5,1.50740354326861,0.752668937236104,2.28375784401814,0.00740354326861371,0.097963398886208,1,0.96,3.4,1.5,20
"beta_est...103",40,31,0.05,-0.0148947443051907,-0.761922446758994,0.754702344831797,-0.0648947443051907,0.0988918821531616,0.02,0.97,4.5,0.05,20
"beta_est...104",40,31,0.5,0.537533784108175,-0.269635195609335,1.17919904754127,0.0375337841081748,0.112619659519466,0.36,0.95,4.5,0.5,20
"beta_est...105",40,31,1.5,1.49519364963342,0.704233006866351,2.30031146616289,-0.00480635036657533,0.127401360400445,1,0.92,4.5,1.5,20
"beta_est...106",40,31,0.05,0.0677768415994791,-0.799031661220144,0.856000377015586,0.0177768415994791,0.125745477975213,0.06,0.95,5.6,0.05,20
"beta_est...107",40,31,0.5,0.44288994789056,-0.205583989299753,1.26770803002508,-0.0571100521094399,0.103998157332882,0.23,0.95,5.6,0.5,20
"beta_est...108",40,31,1.5,1.51028555882702,0.687814252416598,2.40386784216482,0.010285558827023,0.131370570296566,0.97,0.91,5.6,1.5,20
